  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
125660 99999 201701021600 250  13 ***   9 OVC * * *  0.9 73 ** ** ** ** ** ** ** 7   30   29 1014.7 *****  984.4 *** *** ***** ***** ***** ***** ** 
125660 99999 201701021630 250  16 ***  10 *** * * *  1.9 71 10 ** ** ** ** ** ** *   30   28 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021700 240  13 ***  10 OVC * * *  1.9 71 ** ** ** ** ** ** ** 7   29   28 1015.0 *****  984.6 *** *** ***** ***** ***** ***** ** 
125660 99999 201701021730 240  15 ***   9 *** * * *  3.1 71 10 ** ** ** ** ** ** *   28   27 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021800 240  13 ***   9 OVC * * *  2.5 71 ** ** ** ** ** ** ** 7   29   28 1015.7 *****  985.3  35  23 ***** ***** *****  0.08 ** 
125660 99999 201701021830 240  13 ***   9 *** * * *  2.5 71 10 ** ** ** ** ** ** *   28   27 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021900 240  11 ***  10 OVC * * *  2.5 71 10 ** ** ** ** ** ** 7   29   28 1016.5 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701021930 240   9 ***   7 *** * * *  3.1 71 10 ** ** ** ** ** ** *   28   27 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701022000 230  11 ***   7 OVC * * *  3.1 71 ** ** ** ** ** ** ** 7   29   28 1016.9 *****  986.5 *** *** ***** ***** ***** ***** ** 
125660 99999 201701022030 240  14 ***   7 *** * * *  2.5 71 10 ** ** ** ** ** ** *   28   27 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701022100 230  11 ***   7 OVC * * *  2.2 71 ** ** ** ** ** ** ** 7   29   28 1017.5 *****  987.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201701022130 240  13 ***   6 *** * * *  1.9 71 10 ** ** ** ** ** ** *   28   27 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701022200 240  13 ***  33 OVC * * *  1.9 71 ** ** ** ** ** ** ** 7   29   28 1017.7 *****  987.3 *** *** ***** ***** ***** ***** ** 
125660 99999 201701022230 240  10 ***  10 *** * * *  2.5 71 10 ** ** ** ** ** ** *   30   27 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701022300 260  13 ***  20 OVC * * *  3.8 71 ** ** ** ** ** ** ** 7   30   28 1018.1 *****  987.7 *** *** ***** ***** ***** ***** ** 
