  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
125660 99999 201601010000 990   1 *** 722 CLR * * *  2.2 10 ** ** ** ** ** ** ** 0   13   11 1031.2 *****  999.3 *** *** *****  0.00 ***** ***** ** 
125660 99999 201601010030 990   1 *** 722 CLR * * *  1.6 10 ** ** ** ** ** ** ** *   12   10 ****** 30.36 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010100 360   0 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** 0   12   10 1030.8 *****  998.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201601010130 ***   0 *** 722 CLR * * *  1.6 10 ** ** ** ** ** ** ** *   12   10 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010200 990   1 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** 0   12   11 1030.5 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010230 990   1 *** 722 CLR * * *  1.3 10 ** ** ** ** ** ** ** *   12    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010300 040   2 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** 0   11    9 1030.4 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010330 990   1 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** *   10    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010400 360   0 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** 0   11    9 1030.3 *****  998.3 *** *** ***** ***** ***** ***** ** 
125660 99999 201601010430 990   1 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** *   10    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010500 360   0 *** 722 SCT * * *  1.2 10 ** ** ** ** ** ** ** 0   10    9 1030.2 *****  998.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201601010530 990   1 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** *   10    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010600 *** *** *** 722 SCT * * *  1.0 10 ** ** ** ** ** ** ** 0   10    8 1030.1 30.30 ******  19  10 ***** ***** *****  0.00 ** 
125660 99999 201601010630 050   3 *** 722 CLR * * *  1.0 10 ** ** ** ** ** ** ** *   10    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010700 360   0 *** 722 SCT * * *  1.2 10 ** ** ** ** ** ** ** 0   10    7 1030.6 *****  998.5 *** *** ***** ***** ***** ***** ** 
125660 99999 201601010730 060   2 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** *   10    7 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010800 050   2 *** 722 BKN * * *  1.2 10 ** ** ** ** ** ** ** 1   12    9 1030.4 *****  998.5 *** *** ***** ***** ***** ***** ** 
125660 99999 201601010830 990   1 *** 722 CLR * * *  1.2 10 ** ** ** ** ** ** ** *   14   10 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010900 260   2 *** 722 CLR * * *  0.8 10 ** ** ** ** ** ** ** 1   16   12 1029.8 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601010930 990   1 *** 722 CLR * * *  1.3 10 ** ** ** ** ** ** ** *   19   14 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011000 360   0 *** 722 BKN * * *  1.2 10 ** ** ** ** ** ** ** 2   22   14 1029.3 *****  998.0 *** *** ***** ***** ***** ***** ** 
125660 99999 201601011030 990   1 *** 722 CLR * * *  1.5 10 ** ** ** ** ** ** ** *   25   16 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011100 340   2 *** 722 CLR * * *  2.4 10 ** ** ** ** ** ** ** 1   25   17 1028.6 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011130 990   2 *** 722 CLR * * *  2.6 10 ** ** ** ** ** ** ** *   25   16 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011200 070   4 *** 722 SCT * * *  2.8 10 ** ** ** ** ** ** ** 1   26   16 1028.1 *****  997.1 *** *** *****  0.00 ***** ***** ** 
125660 99999 201601011230 080   5 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   27   16 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011300 090   4 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   27   16 1027.7 *****  996.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201601011330 100   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   14 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011400 090   4 *** 722 SCT * * *  3.8 10 ** ** ** ** ** ** ** 0   25   16 1027.9 *****  996.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201601011430 090   6 *** *** *** * * *  1.9 10 ** ** ** ** ** ** ** *   25   16 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011500 080   7 *** *** SCT * * *  1.9 10 ** ** ** ** ** ** ** 0   21   16 1028.2 *****  996.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201601011530 060   6 *** *** *** * * *  1.9 10 ** ** ** ** ** ** ** *   21   16 ****** 30.27 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011600 050   8 *** 722 SCT * * *  1.6 10 ** ** ** ** ** ** ** 0   21   16 1028.8 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011630 060   7 *** *** *** * * *  1.7 10 ** ** ** ** ** ** ** *   19   14 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011700 050  11 *** 722 SCT * * *  2.2 10 ** ** ** ** ** ** ** 0   19   14 1029.1 *****  997.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201601011730 060   9 *** *** *** * * *  1.9 10 ** ** ** ** ** ** ** *   18   14 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011800 050   9 *** *** *** * * *  2.8 10 ** ** ** ** ** ** ** 0   18   12 1029.4 30.30 ******  27   9 ***** ***** *****  0.00 ** 
125660 99999 201601011830 060   9 *** *** *** * * *  3.8 ** ** ** ** ** ** ** ** *   18   12 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601011900 050  11 *** 722 CLR * * *  4.4 10 ** ** ** ** ** ** ** 0   17   13 1029.9 *****  998.3 *** *** ***** ***** ***** ***** ** 
125660 99999 201601011930 060  10 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   16   10 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601012000 050  11 *** 722 CLR * * *  6.2 ** ** ** ** ** ** ** ** *   15   10 1029.8 *****  998.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201601012030 060   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   14    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601012100 050  11 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   13    9 1030.2 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601012130 060  11 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   12    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601012200 050  11 ***  10 BKN * * *  6.2 ** ** ** ** ** ** ** ** *   13    9 1030.3 *****  998.4 *** *** ***** ***** ***** ***** ** 
125660 99999 201601012230 060  13 ***   9 *** * * *  6.2 ** ** ** ** ** ** ** ** *   12    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601012300 050  13 ***   9 BKN * * *  6.2 ** ** ** ** ** ** ** ** *   12    9 1030.1 *****  998.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201601012330 060  11 ***   8 *** * * *  6.2 ** ** ** ** ** ** ** ** *   12    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020000 060  13 ***   7 BKN * * *  6.2 ** ** ** ** ** ** ** ** *   12    9 1030.0 *****  998.1 *** *** *****  0.00 ***** ***** ** 
125660 99999 201601020030 070  11 ***   7 *** * * *  4.4 71 ** ** ** ** ** ** ** *   12    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020100 080  13 ***   7 OVC * * *  4.4 71 ** ** ** ** ** ** ** 7   11    9 1030.0 *****  998.0 *** *** ***** ***** ***** ***** ** 
125660 99999 201601020130 060   9 ***   6 *** * * *  4.4 71 ** ** ** ** ** ** ** *   10    9 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020200 050  13 ***   6 OVC * * *  3.8 71 ** ** ** ** ** ** ** 7   10    7 1030.1 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020230 070  13 ***   3 *** * * *  2.6 71 10 ** ** ** ** ** ** *   10    7 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020300 050  11 ***   6 OVC * * *  3.1 71 ** ** ** ** ** ** ** 7   11    9 1029.9 *****  997.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201601020330 060  10 ***   6 *** * * *  2.8 71 10 ** ** ** ** ** ** *   12    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020400 060  13 ***   6 OVC * * *  3.1 71 ** ** ** ** ** ** ** 7   12   10 1029.7 *****  997.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201601020430 060  15 ***   6 *** * * *  3.1 71 10 ** ** ** ** ** ** *   12    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020500 050  16 ***   6 *** * * *  2.5 71 10 ** ** ** ** ** ** 7   11    7 1029.8 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020530 070  14 ***   6 *** * * *  3.1 71 10 ** ** ** ** ** ** *   12    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020600 070  13 ***   7 *** * * *  6.2 71 ** ** ** ** ** ** ** 7   10    7 1029.8 30.30 ******  18  10 ***** *****  0.00  0.00  0 
125660 99999 201601020630 060  10 ***  12 *** * * *  6.2 ** ** ** ** ** ** ** ** *    9    5 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020700 060  11 *** *** *** * * *  6.2 22 ** ** ** ** ** ** ** 1    9    5 1030.3 *****  998.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201601020730 060  11 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   10    5 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020800 060  11 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   11    7 1030.2 *****  998.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201601020830 070  13 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   12    7 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601020900 070  16 *** *** SCT * * * 12.5 01 ** ** ** ** ** ** ** 7   13    7 1029.9 *****  998.0 *** *** ***** ***** ***** ***** ** 
125660 99999 201601020930 080  16 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   14    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601021000 060  18 *** *** SCT * * * 12.5 ** ** ** ** ** ** ** ** *   14    9 1029.6 *****  997.8 *** *** ***** ***** ***** ***** ** 
125660 99999 201601021030 080  16 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   14    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601021100 070  16 ***  12 *** * * * 12.5 ** ** ** ** ** ** ** ** *   15   10 1029.4 *****  997.7 *** *** ***** ***** ***** ***** ** 
125660 99999 201601021130 070  16 ***  15 *** * * *  6.2 ** ** ** ** ** ** ** ** *   16    9 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601021200 060  16 ***  15 BKN * * * 12.5 ** ** ** ** ** ** ** ** *   16   11 1029.1 *****  997.5 *** *** *****  0.00 ***** ***** ** 
125660 99999 201601021230 070  15 ***  15 *** * * *  6.2 ** ** ** ** ** ** ** ** *   16   10 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601021300 060  16 *** *** *** * * * 12.5 ** ** ** ** ** ** ** ** *   17   10 1028.9 *****  997.4 *** *** ***** ***** ***** ***** ** 
125660 99999 201601021330 060  17 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   18   10 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601021400 060  16 *** *** SCT * * * 12.5 ** ** ** ** ** ** ** ** *   18   10 1028.7 30.27 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601021430 070  16 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   18   10 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201601021500 050  16 *** *** *** * * * 12.5 ** ** ** ** ** ** ** ** *   16    9 1029.0 30.30 ****** *** *** ***** ***** ***** ***** ** 
